id,vgi_id,name,slug,type,games_developed,games_released,games_unreleased,revenue_sum,revenue_median,revenue_avg,self_published,indie,action,casual,adventure,simulation,strategy,rpg,mmo,racing,sports,country_name
4385257,,Berker Games,berker-games,30,1,1,0,105976,105976,105976,1,100,0,100,0,100,100,0,0,0,0,Turkey
2003,,MadGoat Studio,madgoat-studio,30,1,1,0,105924,105924,105924,1,100,0,0,0,100,0,0,0,0,0,
14986,,Shoujo City Developer,shoujo-city-developer,30,2,2,0,105902,52951,52951,2,0,0,0,0,100,0,0,0,0,0,
128189,,"Short Sleeve Studio, LLC",short-sleeve-studio-llc,30,1,1,0,105875,105875,105875,1,0,0,0,100,0,0,0,0,0,0,
21346,,Incuvo S.A.,incuvo-s-a,30,2,2,0,105871,52936,52936,1,100,50,0,50,0,0,0,0,0,0,
30639,,La’cryma,la-cryma,30,2,2,0,105840,52920,52920,0,100,0,50,100,50,0,0,0,0,0,
86215,,Crush Depth Studios,crush-depth-studios,30,1,1,0,105838,0,105838,1,0,0,0,0,100,0,0,100,0,0,
3958,,REDWHALE GAMES Inc.,redwhale-games-inc,30,1,1,0,105826,0,105826,1,0,100,0,100,0,0,0,100,0,0,
46773,,Nico Papalia,nico-papalia,30,2,2,0,105797,105797,52899,0,100,0,0,100,0,0,100,0,0,0,
11715,,Evan Tor Games,evan-tor-games,30,1,1,0,105778,105778,105778,0,100,100,0,100,0,0,0,0,0,0,United States
27537,,LUXO Interactive,luxo-interactive,30,6,6,0,105742,7989,17624,0,83,50,50,17,33,67,17,0,0,0,
4548,,rank17,rank17,30,6,6,0,105723,10486,17621,6,33,83,67,50,17,0,0,0,0,33,
18181,,Climax Studios Ltd,climax-studios-ltd,30,2,2,0,105592,78299,52796,1,0,50,0,50,0,0,0,0,0,0,
26462,,aburasobabiyori,aburasobabiyori,30,4,4,0,105536,41839,26384,0,100,25,50,0,0,0,100,0,0,0,
9380,,Ghost Machine,ghost-machine,30,8,8,0,105515,14549,13189,8,63,50,13,0,38,25,13,0,38,50,
53641,,751 Games,751-games,30,2,2,1,105506,52753,52753,3,100,0,67,67,0,33,33,0,0,0,
3281331,,Orangeee,orangeee,30,1,1,0,105498,105498,105498,0,0,100,100,100,0,0,100,0,0,0,
